Chunk_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
20,7.0,0.8439000248908997,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['afternoon', 'speak', 'watch', 'tonight', 'late', 'night', 'make', 'big', 'announcement', 'busy', 'week', 'friend', 'second', 'season', 'golf', 'begin', 'celebrity', 'match', 'people', 'shouldtrumprun', 'com', 'get', 'right', 'factory', 'suppose', 'compete', 'country', 'restriction', 'worker', 'need', 'watch', 'morning', 'third', 'line', 'timepiece', 'collection', 'miss', 'fabulous', 'second', 'season', 'golf', 'tonight', 'watch', 'today', 'entire', 'family', 'entertain', 'hour', 'great', 'appear', 'pier', 'tonight', 'last', 'night', 'live', 'guest', 'pier', 'celebrity', 'apprentice', 'fantastic']"
21,7.0,0.5220000147819519,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['yesterday', 'yesterday', 'new', 'ask', 'interested', 'meeting', 'hickory', 'good', 'show', 'come', 'visit', 'today', 'speak', 'morning', 'late', 'article', 'check', 'check', 'today', 'willing', 'answer', 'question', 'tweet']"
22,7.0,0.694100022315979,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['answer', 'question', 'today', 'video', 'watch', 'come', 'come', 'celebrity', 'night', 'check', 'today', 'video', 'blog', 'want', 'answer', 'question', 'answer', 'question', 'today', 'video', 'today', 'show', 'morning', 'visit', 'night', 'appear', 'last', 'night', 'forget', 'night', 'get', 'trump', 'thought', 'last', 'night', 'celebrity', 'observation', 'make']"
23,7.0,0.6789000034332275,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['question', 'answer', 'today', 'video', 'appearance', 'develop', 'tall', 'tower', 'firework', 'continue', 'thought', 'last', 'night', 'celebrity', 'apprentice', 'late', 'video', 'blog', 'tweet', 'question', 'answer', 'next', 'video', 'watch', 'humiliate', 'full', 'talent', 'trumproast', 'air', 'itsthesituation', 'scared', 'trumproast', 'air', 'realjeffreyross', 'cumming', 'tonight', 'fabulous', 'site', 'family', 'master', 'golf', 'course', 'designer', 'keep', 'talk', 'use', 'trumproast', 'tweet', 'good', 'look', 'comedycentral', 'tonight']"
24,7.0,0.6995000243186951,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['popular', 'question', 'answer', 'today', 'video', 'shouldtrumprun', 'hundred', 'thousand', 'supporter', 'go', 'join', 'movement', 'shouldtrumprun', 'catch', 'interview', 'tonight', 'discuss', 'current', 'affair', 'politics', 'tune', 'last', 'week', 'high', 'rate', 'comedy', 'roast', 'bring', 'milion', 'viewer', 'forget', 'celebrity', 'surprising', 'exciting', 'episode', 'speak', 'friend', 'today', 'watch', 'thought', 'last', 'night', 'celebrity', 'want', 'see', 'people', 'make', 'lot', 'live', 'well', 'life', 'think', 'thetrumpnetwork']"
25,7.0,0.9075000286102295,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['thought', 'geico', 'ad', 'today', 'video', 'blog', 'money', 'give', 'charity', 'response', 'comment', 'gadhafi', 'check', 'recent', 'interview', 'late', 'celebrity', 'apprentice', 'tonight', 'fabulous', 'tonight', 'watch', 'late', 'video', 'blog', 'thought', 'factor', 'catch', 'second', 'part', 'interview', 'bill', 'tonight']"
26,7.0,0.5723999738693237,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['watch', 'celebrity', 'see', 'forget', 'want', 'answer', 'question', 'video', 'check', 'video', 'today', 'conference', 'announce', 'feature', 'todayshow', 'morning', 'interview', 'case', 'miss', 'mcleeoo', 'impetuous', 'rdercjr', 'question', 'answer', 'watch', 'enjoy', 'answer', 'tweet', 'send', 'answer', 'next', 'featuring', 'pirate', 'firework', 'cast', 'forget', 'fabulous', 'answer', 'question']"
27,7.0,0.65829998254776,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['watch', 'start', 'catch', 'interview', 'tonight', 'thought', 'appearance', 'party', 'weekend', 'thought', 'speech', 'past', 'weekend', 'today', 'forget', 'fabulous', 'tonight', 'blog', 'appearance', 'question', 'see', 'great', 'thing', 'working']"
28,7.0,0.3815999925136566,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['khfritch', 'question', 'answer', 'today', 'sure', 'tune', 'exciting', 'episode', 'fabulous', 'new', 'next', 'generation', 'thought', 'yesterday', 'event', 'today', 'watch', 'celebrity', 'watch', 'fabulous', 'tonight', 'want', 'congratulate', 'president', 'man', 'woman', 'armed', 'force', 'vote']"
29,7.0,0.9763000011444092,"realdonaldtrump, great, thank, trump, make, good, would, go, get, need","['watch', 'celebrity', 'watch', 'appearance', 'foxandfriend', 'watch', 'fabulous', 'tonight', 'speech', 'watch', 'speech', 'guest', 'rave', 'exclusive', 'hotel', 'mattress', 'make', 'available', 'purchase', 'trump', 'fabulous', 'tonight', 'golf', 'difficult', 'decision', 'regard', 'presidential', 'run', 'want', 'thank', 'twitter', 'fan', 'fantastic', 'support', 'vote', 'today', 'episode']"
30,3.0,0.7811999917030334,"great, border, news, happen, come, thank, process, meeting, ready, work","['ready', 'excitement', 'live', 'night', 'appearance', 'foxandfriend', 'today', 'congratulation', 'terrific', 'job', 'season', 'great', 'thank', 'tremendous', 'support', 'past', 'month', 'stay', 'tune', 'therealmissusa', 'contestant', 'stop', 'yesterday', 'watch', 'video', 'missusa', 'wish', 'happy', 'memorial', 'thank', 'soldier', 'protect', 'great', 'country', 'thought', 'last', 'night', 'meeting', 'sarahpalinusa', 'watch', 'appearance', 'good', 'day', 'ny', 'foxandfriend', 'tweet', 'question', 'check', 'speech', 'last', 'appearance', 'morning', 'foxandfriend']"
